timestamp,open,high,low,close,volume
0,99.9500,100.3500,99.7500,100.0500,1000.00
86400000,100.0333,100.4333,99.8333,100.1333,1007.12
172800000,100.1498,100.5498,99.9498,100.2498,1014.09
259200000,100.2991,100.6991,100.0991,100.3991,1020.78
345600000,100.4809,100.8809,100.2809,100.5809,1027.04
432000000,100.6945,101.0945,100.4945,100.7945,1032.75
518400000,100.9392,101.3392,100.7392,101.0392,1037.80
604800000,101.2141,101.6141,101.0141,101.3141,1042.07
691200000,101.5183,101.9183,101.3183,101.6183,1045.49
777600000,101.8507,102.2507,101.6507,101.9507,1047.98
864000000,102.2098,102.6098,102.0098,102.3098,1049.50
950400000,102.5945,102.9945,102.3945,102.6945,1050.00
1036800000,103.0032,103.4032,102.8032,103.1032,1049.49
1123200000,103.4343,103.8343,103.2343,103.5343,1047.96
1209600000,103.8861,104.2861,103.6861,103.9861,1045.46
1296000000,104.3568,104.7568,104.1568,104.4568,1042.04
1382400000,104.8446,105.2446,104.6446,104.9446,1037.76
1468800000,105.3475,105.7475,105.1475,105.4475,1032.71
1555200000,105.8636,106.2636,105.6636,105.9636,1026.99
1641600000,106.3906,106.7906,106.1906,106.4906,1020.72
1728000000,106.9266,107.3266,106.7266,107.0266,1014.03
1814400000,107.4693,107.8693,107.2693,107.5693,1007.06
1900800000,108.0166,108.4166,107.8166,108.1166,999.94
1987200000,108.5662,108.9662,108.3662,108.6662,992.82
2073600000,109.1160,109.5160,108.9160,109.2160,985.85
2160000000,109.6637,110.0637,109.4637,109.7637,979.16
2246400000,110.2071,110.6071,110.0071,110.3071,972.91
2332800000,110.7441,111.1441,110.5441,110.8441,967.20
2419200000,111.2723,111.6723,111.0723,111.3723,962.16
2505600000,111.7898,112.1898,111.5898,111.8898,957.89
2592000000,112.2945,112.6945,112.0945,112.3945,954.48
2678400000,112.7843,113.1843,112.5843,112.8843,952.00
2764800000,113.2572,113.6572,113.0572,113.3572,950.50
2851200000,113.7115,114.1115,113.5115,113.8115,950.00
2937600000,114.1452,114.5452,113.9452,114.2452,950.52
3024000000,114.5568,114.9568,114.3568,114.6568,952.05
3110400000,114.9445,115.3445,114.7445,115.0445,954.56
3196800000,115.3069,115.7069,115.1069,115.4069,957.99
3283200000,115.6426,116.0426,115.4426,115.7426,962.28
3369600000,115.9504,116.3504,115.7504,116.0504,967.34
3456000000,116.2290,116.6290,116.0290,116.3290,973.06
3542400000,116.4775,116.8775,116.2775,116.5775,979.34
3628800000,116.6950,117.0950,116.4950,116.7950,986.03
3715200000,116.8808,117.2808,116.6808,116.9808,993.01
3801600000,117.0341,117.4341,116.8341,117.1341,1000.13
3888000000,117.1547,117.5547,116.9547,117.2547,1007.24
3974400000,117.2421,117.6421,117.0421,117.3421,1014.21
4060800000,117.2963,117.6963,117.0963,117.3963,1020.89
4147200000,117.3171,117.7171,117.1171,117.4171,1027.15
4233600000,117.3047,117.7047,117.1047,117.4047,1032.85
4320000000,117.2594,117.6594,117.0594,117.3594,1037.88
4406400000,117.1816,117.5816,116.9816,117.2816,1042.14
4492800000,117.0719,117.4719,116.8719,117.1719,1045.54
4579200000,116.9310,117.3310,116.7310,117.0310,1048.02
4665600000,116.7598,117.1598,116.5598,116.8598,1049.51
4752000000,116.5592,116.9592,116.3592,116.6592,1050.00
4838400000,116.3302,116.7302,116.1302,116.4302,1049.47
4924800000,116.0743,116.4743,115.8743,116.1743,1047.93
5011200000,115.7927,116.1927,115.5927,115.8927,1045.41
5097600000,115.4869,115.8869,115.2869,115.5869,1041.97
5184000000,115.1585,115.5585,114.9585,115.2585,1037.67
5270400000,114.8092,115.2092,114.6092,114.9092,1032.61
5356800000,114.4407,114.8407,114.2407,114.5407,1026.88
5443200000,114.0549,114.4549,113.8549,114.1549,1020.61
5529600000,113.6538,114.0538,113.4538,113.7538,1013.91
5616000000,113.2393,113.6393,113.0393,113.3393,1006.93
5702400000,112.8135,113.2135,112.6135,112.9135,999.81
5788800000,112.3785,112.7785,112.1785,112.4785,992.69
5875200000,111.9365,112.3365,111.7365,112.0365,985.73
5961600000,111.4896,111.8896,111.2896,111.5896,979.05
6048000000,111.0402,111.4402,110.8402,111.1402,972.80
6134400000,110.5903,110.9903,110.3903,110.6903,967.10
6220800000,110.1422,110.5422,109.9422,110.2422,962.08
6307200000,109.6981,110.0981,109.4981,109.7981,957.82
6393600000,109.2603,109.6603,109.0603,109.3603,954.43
6480000000,108.8308,109.2308,108.6308,108.9308,951.97
6566400000,108.4119,108.8119,108.2119,108.5119,950.48
6652800000,108.0055,108.4055,107.8055,108.1055,950.00
6739200000,107.6138,108.0138,107.4138,107.7138,950.54
6825600000,107.2386,107.6386,107.0386,107.3386,952.09
6912000000,106.8820,107.2820,106.6820,106.9820,954.61
6998400000,106.5456,106.9456,106.3456,106.6456,958.06
7084800000,106.2312,106.6312,106.0312,106.3312,962.37
7171200000,105.9404,106.3404,105.7404,106.0404,967.44
